   ------>  https://minhaconta.globo.com
   ------>  http://globo.com#
g1   ------>  https://g1.globo.com/
ge   ------>  https://globoesporte.globo.com/
cartola fc   ------>  https://cartolafc.globo.com/assine.html
gshow   ------>  https://gshow.globo.com/
receitas   ------>  https://receitas.globo.com/
globoplay   ------>  https://globoplay.globo.com/
o globo   ------>  https://oglobo.globo.com/
dropz   ------>  https://globo.com/dropz
Vitrine Globo   ------>  https://vitrine.globo.com/
Curso Enem   ------>  http://globo.com https://apiservices.krxd.net/click_tracker/track
Aplicativo G1 Enem   ------>  http://especiais.g1.globo.com/educacao/app-g1-enem/
Enem e Vestibular   ------>  https://g1.globo.com/educacao/enem/2020/
Calculadora de salários bruto x líquido   ------>  https://valorinveste.globo.com/ferramentas/calculadoras/calculadora-salario-liquido/
Simulador de crédito imobiliário   ------>  https://valorinveste.globo.com/ferramentas/financiamento-imobiliario-simulador/
Comparador de investimentos   ------>  https://valorinveste.globo.com/ferramentas/comparador-de-investimentos/
Loterias   ------>  https://g1.globo.com/loterias/
Newsletter   ------>  http://especiais.g1.globo.com/newsletter/
Previsão do Tempo   ------>  https://g1.globo.com/previsao-do-tempo/
Flamengo   ------>  https://globoesporte.globo.com/futebol/times/flamengo/
Corinthians   ------>  https://globoesporte.globo.com/futebol/times/corinthians/
Grêmio   ------>  https://globoesporte.globo.com/rs/futebol/times/gremio/
Palmeiras   ------>  https://globoesporte.globo.com/futebol/times/palmeiras/
Santos   ------>  https://globoesporte.globo.com/sp/santos-e-regiao/futebol/times/santos/
São Paulo   ------>  https://globoesporte.globo.com/futebol/times/sao-paulo/
Atlético-MG   ------>  https://globoesporte.globo.com/futebol/times/atletico-mg/
Fluminense   ------>  https://globoesporte.globo.com/futebol/times/fluminense/
Vasco   ------>  https://globoesporte.globo.com/futebol/times/vasco/
Botafogo   ------>  https://globoesporte.globo.com/futebol/times/botafogo/
Cruzeiro   ------>  https://globoesporte.globo.com/futebol/times/cruzeiro/
Internacional   ------>  https://globoesporte.globo.com/rs/futebol/times/internacional/
Athlético-PR   ------>  https://globoesporte.globo.com/pr/futebol/times/athletico-pr/
Chapecoense   ------>  https://globoesporte.globo.com/sc/futebol/times/chapecoense/
Bragantino   ------>  https://globoesporte.globo.com/sp/vale-do-paraiba-regiao/futebol/times/bragantino/
Ceará   ------>  https://globoesporte.globo.com/ce/futebol/times/ceara/
Sport   ------>  https://globoesporte.globo.com/pe/futebol/times/sport/
Bahia   ------>  https://globoesporte.globo.com/ba/futebol/times/bahia/
Fortaleza   ------>  https://globoesporte.globo.com/ce/futebol/times/fortaleza/
América MG   ------>  https://globoesporte.globo.com/futebol/times/america-mg/
Atlético-GO   ------>  https://globoesporte.globo.com/go/futebol/times/atletico-go/
Cuiabá   ------>  https://globoesporte.globo.com/mt/futebol/times/cuiaba/
Juventude   ------>  https://globoesporte.globo.com/rs/futebol/times/juventude/
seleção brasileira   ------>  https://globoesporte.globo.com/futebol/selecao-brasileira/
Brasileirão Série A   ------>  https://globoesporte.globo.com/futebol/brasileirao-serie-a/
Brasileirão Série B   ------>  https://globoesporte.globo.com/futebol/brasileirao-serie-b/
Copa América   ------>  https://globoesporte.globo.com/futebol/copa-america/
Copa do Brasil   ------>  https://globoesporte.globo.com/futebol/copa-do-brasil/
Copa Sul-americana   ------>  https://globoesporte.globo.com/futebol/copa-sul-americana/
Libertadores   ------>  https://globoesporte.globo.com/futebol/libertadores/
Público nos Estádios   ------>  http://app.globoesporte.globo.com/futebol/publico-no-brasil/index.html
Rotatividade dos técnicos   ------>  https://interativos.globoesporte.globo.com/futebol/rotatividade-dos-tecnicos
Vai-e-vem do mercado   ------>  https://interativos.globoesporte.globo.com/futebol/mercado/vai-e-vem/vai-e-vem-do-mercado-2020
Celulares   ------>  https://www.techtudo.com.br/mobile/
TVS   ------>  https://www.techtudo.com.br/eletronicos/tvs/
Notebooks   ------>  https://www.techtudo.com.br/informatica/notebooks/
Jogos   ------>  https://www.techtudo.com.br/jogos/
E-sports   ------>  https://www.techtudo.com.br/e-sports/
Aplicativos   ------>  https://www.techtudo.com.br/softwares/apps/
Redes Sociais   ------>  https://www.techtudo.com.br/softwares/apps/redes-sociais/
Dicas e Tutoriais   ------>  https://www.techtudo.com.br/dicas-e-tutoriais/plantao.html
Reviews   ------>  https://www.techtudo.com.br/reviews/plantao.html
Listas   ------>  https://www.techtudo.com.br/listas/plantao.html
Vídeos   ------>  https://www.techtudo.com.br/videos/
Fórum Techtudo   ------>  https://forum.techtudo.globo.com/
Hora 1   ------>  http://g1.globo.com/hora1
Bom Dia Brasil   ------>  http://g1.globo.com/bom-dia-brasil/
Jornal Hoje   ------>  http://g1.globo.com/jornal-hoje/
Jornal Nacional   ------>  http://g1.globo.com/jornal-nacional/
Jornal da Globo   ------>  http://g1.globo.com/jornal-da-globo/
Globo Repórter   ------>  http://g1.globo.com/globo-reporter/
Fantástico   ------>  http://fantastico.globo.com/
BBB   ------>  https://gshow.globo.com/realities/bbb/
Império   ------>  https://gshow.globo.com/novelas/imperio/
Salve-se Quem Puder   ------>  https://gshow.globo.com/novelas/salve-se-quem-puder/
A Vida da Gente   ------>  https://gshow.globo.com/novelas/a-vida-da-gente/
Malhação - Sonhos   ------>  https://gshow.globo.com/novelas/malhacao/sonhos-edicao-especial/
No Limite   ------>  https://gshow.globo.com/realities/no-limite/
Mestre do Sabor   ------>  https://gshow.globo.com/realities/mestre-do-sabor/2020/
BIS   ------>  https://globoplay.globo.com/canais/bis/
Canal Brasil   ------>  https://globoplay.globo.com/canais/canal-brasil/
Canal Off   ------>  https://globoplay.globo.com/canais/canal-off/
Combate   ------>  https://globoesporte.globo.com/combate/
Futura   ------>  https://globoplay.globo.com/canais/futura/
Globonews   ------>  https://g1.globo.com/globonews/
Gloob   ------>  http://mundogloob.globo.com/
Gloobinho   ------>  https://globoplay.globo.com/canais/gloobinho/
GNT   ------>  https://gnt.globo.com/
Mais na Tela   ------>  https://globoplay.globo.com/canais/mais-na-tela/
Megapix   ------>  https://globoplay.globo.com/canais/megapix/
Multishow   ------>  https://multishow.globo.com/
Premiere   ------>  https://globoesporte.globo.com/loja/premiere/
Sportv   ------>  https://globoesporte.globo.com/sportv/
Telecine   ------>  https://www.telecineplay.com.br/
Universal+   ------>  https://globoplay.globo.com/canais/universal/
Viva   ------>  https://globoplay.globo.com/canais/viva/
Carros   ------>  https://autoesporte.globo.com/
Jornal Extra   ------>  https://extra.globo.com/
O Globo   ------>  https://oglobo.globo.com/
Valor Econômico   ------>  https://valor.globo.com
Valor Investe   ------>  https://valorinveste.globo.com/
Casa e Jardim   ------>  http://revistacasaejardim.globo.com/
Casa Vogue   ------>  http://casavogue.globo.com/
Crescer   ------>  http://revistacrescer.globo.com/
Época   ------>  http://revistaepoca.globo.com/
Época Negócios   ------>  http://epocanegocios.globo.com/
Galileu   ------>  http://revistagalileu.globo.com/
Glamour   ------>  http://revistaglamour.globo.com/
Globo Rural   ------>  http://revistagloborural.globo.com/
GQ Brasil   ------>  http://gq.globo.com/
Marie Claire   ------>  http://revistamarieclaire.globo.com/
Monet   ------>  http://revistamonet.globo.com/
PEGN   ------>  http://revistapegn.globo.com/
Quem   ------>  http://revistaquem.globo.com/
Vogue   ------>  http://vogue.globo.com/
BH FM   ------>  https://bhfm.globo.com/
CBN   ------>  https://cbn.globoradio.globo.com 
Rádio Globo   ------>  https://radioglobo.globo.com/
Princípios Editoriais   ------>  http://g1.globo.com/principios-editoriais-do-grupo-globo.html
Grupo Globo   ------>  http://grupoglobo.globo.com/
   ------>  https://www.globo.com/
   ------>  https://www.globo.com/
g1   ------>  https://g1.globo.com/
ge   ------>  https://globoesporte.globo.com/
gshow   ------>  https://gshow.globo.com/
globoplay   ------>  https://globoplay.globo.com/
o globo   ------>  https://oglobo.globo.com/
E-MAIL   ------>  http://globo.com#
globomail free   ------>  https://login.globo.com/login/1948
globomail pro   ------>  https://login.globo.com/login/1
   ------>  http://globo.com#
   ------>  http://globo.com#
   ------>  https://minhaconta.globo.com
   ------>  http://globo.com#
Brasileirão         Bahia recebe o Corinthians, SIGA LANCES   ------>  https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/20-06-2021/bahia-corinthians.ghtml
Inter abre contra o Ceará no Beira-Rio, SIGA TR   ------>  https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/20-06-2021/internacional-ceara.ghtml
Cartola do Inter comenta reforços para Aguirre   ------>  https://ge.globo.com/rs/futebol/times/internacional/noticia/presidente-do-inter-fala-sobre-reforcos-para-aguirre-e-espera-em-breve-resposta-por-zagueiro.ghtml
Náutico encara o Bota pela Série B, acompanhe TR   ------>  https://ge.globo.com/pe/futebol/brasileirao-serie-b/jogo/20-06-2021/nautico-botafogo.ghtml
Saiba a classificação dos times da Série B   ------>  https://ge.globo.com/futebol/brasileirao-serie-b/
Palmeiras vira sobre América-MG e entra no G-4   ------>  https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/20-06-2021/palmeiras-america-mg.ghtml
Acompanhe o vai e vem dos clubes na Série A   ------>  https://ge.globo.com/futebol/brasileirao-serie-a/
'Marco sombrio': como imprensa estrangeira repercutiu a tragédia   ------>  https://g1.globo.com/mundo/noticia/2021/06/20/marco-sombrio-de-500-mil-mortes-e-protestos-contra-o-presidente-a-tragedia-brasileira-na-imprensa-internacional.ghtml
Pazuello fez queixa ao diretor da OMS por não ter vacina, blog   ------>  https://blogs.oglobo.globo.com/lauro-jardim/post/brasil-tem-dinheiro-mas-nao-tem-vacina-o-lamento-de-pazuello-ao-diretor-geral-da-oms.html
Fake news atrapalham vacinação indígena na região amazônica   ------>  https://g1.globo.com/bemestar/vacina/noticia/2021/06/20/62percent-dos-indigenas-na-amazonia-estao-vacinados-contra-covid-ac-e-pa-tem-aldeias-com-baixa-adesao.ghtml
Seis brasileiros salvos após a vacina   ------>  https://oglobo.globo.com/sociedade/saude/salvos-pela-vacina-conheca-historias-de-quem-teve-covid-19-sobreviveu-gracas-aos-imunizantes-25068619
Gagliasso celebra 8 anos de Titi: 'Vida'   ------>  https://revistaglamour.globo.com/Celebridades/noticia/2021/06/bruno-gagliasso-faz-homenagem-filha-voce-e-vida.html
